what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deleteNextWord",1436788944558
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1436788945179
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1436788957384
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1436788957384
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1436788957384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436788957530
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436788963979
error,log,,,"Unable to validate connection settings.",1436788966817
error,log,,,"Unable to validate connection settings.",1436788967356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436788967435
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436788967596
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1436788967711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436788969867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436788972111
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1436788995454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436788996164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436789007600
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1436789007679
error,log,,,"Unhandled event loop exception",1436789007694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1436789033231
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1436789049626
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1436789049987
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1436789050032
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1436789086597
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1436789097076
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1436789172328
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1436789172742
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1436789174253
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1436789174628
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1436789189514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436789434456
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436789436917
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436789437287
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436789644362
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1436789646117
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1436789654070
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436789657097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436789665080
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1436789665111
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1436789665111
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436789665199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436789670633
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1436789671713
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436789682442
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1436789682812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436789683141
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1436789683172
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1436789691573
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1436789751439
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1436789757011
